mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2,degree,pair_gene1,pair_gene2
f6p[c],RC02740,RC01830,P/C,0.423441371107104,,g6p-A[c]  <=> f6p[c] ,f6p[c] + g3p[c]  <=> xu5p-D[c] + e4p[c] ,12,x.gpi_1_met7_lib5,x_tkt_1_met7_lib2
f6p[c],RC02740,RC01827,P/C,0.294615013004999,,g6p-A[c]  <=> f6p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,12,x.gpi_1_met7_lib5,x_tald_1_met7_lib2
f6p[c],RC03321,RC01830,P/C,0.423441371107104,,g6p-B[c]  <=> f6p[c] ,f6p[c] + g3p[c]  <=> xu5p-D[c] + e4p[c] ,12,x.gpi_1_met7_lib5,x_tkt_1_met7_lib2
f6p[c],RC03321,RC01827,P/C,0.294615013004999,,g6p-B[c]  <=> f6p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,12,x.gpi_1_met7_lib5,x_tald_1_met7_lib2
f6p[c],RC01830,RC01827,P/C,0.597500826723647,,f6p[c] + g3p[c]  <=> xu5p-D[c] + e4p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,12,x.tkt_1_met7_lib2,x_tald_1_met7_lib2
g6p-B[c],RC03321,RC02736,P/C,0.415809430229973,,g6p-B[c]  <=> f6p[c] ,g6p-B[c] + nadp[c]  -> h[c] + nadph[c] + 6pgl[c] ,5,x.gpi_1_met7_lib5,x_gspd_1_met7_lib2
g6p-B[c],RC02739,RC02736,P/C,0.415809430229973,,g6p-A[c]  <=> g6p-B[c] ,g6p-B[c] + nadp[c]  -> h[c] + nadph[c] + 6pgl[c] ,5,x.gpi_1_met7_lib5,x_gspd_1_met7_lib2
amp[c],RC00127,RC00185,P/C,0.27757728560817,,atp[c] + amp[c]  <=> 2 adp[c] ,atp[c] + adn[c]  -> adp[c] + h[c] + amp[c] ,69,x.let_754_met9_lib4,x_adk_1_met4_lib1
amp[c],RC00127,RC05578,P/C,0.255730102681089,,atp[c] + amp[c]  <=> 2 adp[c] ,atp[c] + glu-L[c] + trnaglu[c]  -> amp[c] + ppi[c] + glutrna[c] ,69,x.let_754_met9_lib4,x_ears_1_met13_lib2
amp[c],RC00127,RC03652,P/C,0.227106926045622,,atp[c] + amp[c]  <=> 2 adp[c] ,atp[c] + gln-L[c] + trnagln[c]  -> amp[c] + ppi[c] + glntrna[c] ,69,x.let_754_met9_lib4,x_qars_1_met6_lib5
amp[c],RC00127,RC03658,P/C,0.305276841143129,,atp[c] + amp[c]  <=> 2 adp[c] ,atp[c] + lys-L[c] + trnalys[c]  -> amp[c] + ppi[c] + lystrna[c] ,69,x.let_754_met9_lib4,x_kars_1_met5_lib3
amp[c],RC00127,RC00181,P/C,0.252367952983668,,atp[c] + amp[c]  <=> 2 adp[c] ,h[c] + amp[c] + h2o[c]  -> nh4[c] + imp[c] ,69,x.let_754_met9_lib4,x_ampd_1_met4_lib3
amp[c],RC05578,RC00181,P/C,0.221284644491998,,atp[c] + glu-L[c] + trnaglu[c]  -> amp[c] + ppi[c] + glutrna[c] ,h[c] + amp[c] + h2o[c]  -> nh4[c] + imp[c] ,69,x.ears_1_met13_lib2,x_ampd_1_met4_lib3
amp[c],RC03658,RC00181,P/C,0.287638620806091,,atp[c] + lys-L[c] + trnalys[c]  -> amp[c] + ppi[c] + lystrna[c] ,h[c] + amp[c] + h2o[c]  -> nh4[c] + imp[c] ,69,x.kars_1_met5_lib3,x_ampd_1_met4_lib3
g3p[c],RC01070,RC01066,P/C,0.282639515581195,,fdp[c]  <=> dhap[c] + g3p[c] ,2dr5p[c]  <=> g3p[c] + acald[c] ,8,x.aldo_2_met7_lib1,x_F09E5_3_met6_lib1
g3p[c],RC01641,RC01827,P/C,0.597500826723647,,g3p[c] + s7p[c]  <=> xu5p-D[c] + r5p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,8,x.tkt_1_met7_lib2,x_tald_1_met7_lib2
g3p[c],RC01641,RC01066,P/C,0.223896084077802,,g3p[c] + s7p[c]  <=> xu5p-D[c] + r5p[c] ,2dr5p[c]  <=> g3p[c] + acald[c] ,8,x.tkt_1_met7_lib2,x_F09E5_3_met6_lib1
g3p[c],RC01830,RC01827,P/C,0.597500826723647,,f6p[c] + g3p[c]  <=> xu5p-D[c] + e4p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,8,x.tkt_1_met7_lib2,x_tald_1_met7_lib2
g3p[c],RC01830,RC01066,P/C,0.223896084077802,,f6p[c] + g3p[c]  <=> xu5p-D[c] + e4p[c] ,2dr5p[c]  <=> g3p[c] + acald[c] ,8,x.tkt_1_met7_lib2,x_F09E5_3_met6_lib1
gtp[c],RC00431,BIO0003,P/C,0.429026643869237,,gtp[c] + oaa[c]  <=> pep[c] + gdp[c] + co2[c] ,0.639534 atp[c] + 0.406032 h2o[c] + 0.233503 gtp[c] + 0.228426 ctp[c] + 0.304569 utp[c]  -> 0.406032 adp[c] + 0.406032 h[c] + 0.406032 pi[c] + ppi[c] + RNA[c] ,15,x.pck_1_met7_lib3,x_F26E4_4_met11_lib6
gtp[c],RC00330,BIO0003,P/C,0.322909515508412,,atp[c] + gdp[c]  <=> adp[c] + gtp[c] ,0.639534 atp[c] + 0.406032 h2o[c] + 0.233503 gtp[c] + 0.228426 ctp[c] + 0.304569 utp[c]  -> 0.406032 adp[c] + 0.406032 h[c] + 0.406032 pi[c] + ppi[c] + RNA[c] ,15,x.ndk_1_met4_lib5,x_rpoa_12_met9_lib3
oaa[c],RC00431,RC00352,P/C,0.211766335917045,,gtp[c] + oaa[c]  <=> pep[c] + gdp[c] + co2[c] ,atp[c] + coa[c] + cit[c]  -> adp[c] + pi[c] + oaa[c] + accoa[c] ,5,x.pck_1_met7_lib3,x_acly_2_met5_lib6
oaa[c],RC00431,RC00355,P/C,0.229297644288476,,gtp[c] + oaa[c]  <=> pep[c] + gdp[c] + co2[c] ,akg[c] + asp-L[c]  <=> oaa[c] + glu-L[c] ,5,x.pck_2_met7_lib6,x_got_1_2_met5_lib2
gdp[c],RC00431,RC00328,P/C,0.348251665154161,,gtp[c] + oaa[c]  <=> pep[c] + gdp[c] + co2[c] ,h2o[c] + gdp[c]  -> h[c] + pi[c] + gmp[c] ,18,x.pck_1_met7_lib3,x_uda_1_met8_lib2
pyr[m],RM00209,RM00258,P/C,0.207368207147373,,pyr[m] + coa[m] + nad[m]  -> accoa[m] + co2[m] + nadh[m] ,akg[m] + ala-L[m]  <=> pyr[m] + glu-L[m] ,12,x.dlat_2_met7_lib3,x_C32F10_8_met13_lib2
accoa[m],RM00209,RM00351,P/C,0.340519083595258,,pyr[m] + coa[m] + nad[m]  -> accoa[m] + co2[m] + nadh[m] ,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,35,x.dlat_1_met11_lib3,x_cts_1_met9_lib1
