"RNAiID","batchID","RNAi_geneName","RNAi_WBID","RNAi_seeding_stage","intended_RNAi_gene_name","intended_RNAi_WBID","note","RNAi_identity_QC","isValidRNAi","isICEL","isMetabolic","incl_in_mGRN","isResponsive","N_DE_targetExcluded"
"x.asah_1 met1_lib1","met1_lib1","asah-1","WBGene00010769","L1","asah-1","WBGene00010769",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,4
"x.elo_1 met1_lib1","met1_lib1","elo-1","WBGene00001239","L1","elo-1","WBGene00001239",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,21
"x.acdh_2 met1_lib1","met1_lib1","acdh-2","WBGene00015894","L1","acdh-2","WBGene00015894",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,371
"x.F45H10.2_L2 met1_lib1","met1_lib1","F45H10.2","WBGene00009739","L2","gba-3","WBGene00008706",NA,"swap",TRUE,TRUE,TRUE,TRUE,TRUE,200
"x.pcyt_1 met1_lib1","met1_lib1","pcyt-1","WBGene00017241","L1","pcyt-1","WBGene00017241",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,1557
"x.acdh_1 met1_lib1","met1_lib1","acdh-1","WBGene00016943","L1","acdh-1","WBGene00016943",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,21
"x.gpdh_3 met1_lib1","met1_lib1","gpdh-3","WBGene00012031","L1","gpdh-3","WBGene00012031",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.acdh_13_L2 met1_lib1","met1_lib1","acdh-13","WBGene00001566","L2","acdh-13","WBGene00001566",NA,"correct",TRUE,FALSE,TRUE,TRUE,TRUE,92
"x.R11F4.1 met1_lib1","met1_lib1","R11F4.1","WBGene00020007","L1","R11F4.1","WBGene00020007",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.pccb_1 met1_lib1","met1_lib1","pccb-1","WBGene00018701","L1","pccb-1","WBGene00018701",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.gpdh_1 met1_lib2","met1_lib2","gpdh-1","WBGene00009824","L1","gpdh-1","WBGene00009824",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.elo_3 met1_lib2","met1_lib2","elo-3","WBGene00001241","L2","elo-3","WBGene00001241",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,220
"x.acdh_4 met1_lib2","met1_lib2","acdh-4","WBGene00020419","L1","acdh-4","WBGene00020419",NA,"correct",TRUE,FALSE,TRUE,TRUE,TRUE,6
