"","RNAiID","batchID","RNAi_geneName","RNAi_WBID","isICEL","isMetabolic","isValidRNAi","isHighConfiRNAi","WT_TPM","N_DE","isResponsive","N_DE_targetExcluded"
"1","x.asah_1 met1_lib1","met1_lib1","asah-1","WBGene00010769",TRUE,TRUE,TRUE,TRUE,31.8179986486781,5,FALSE,4
"6","x.elo_1 met1_lib1","met1_lib1","elo-1","WBGene00001239",TRUE,TRUE,TRUE,TRUE,687.855886636738,22,TRUE,21
"28","x.acdh_2 met1_lib1","met1_lib1","acdh-2","WBGene00015894",TRUE,TRUE,TRUE,TRUE,38.8030889674571,372,TRUE,371
"400","x.F45H10.2_L2 met1_lib1","met1_lib1","F45H10.2","WBGene00009739",TRUE,TRUE,TRUE,TRUE,202.866876083756,201,TRUE,200
"601","x.pcyt_1 met1_lib1","met1_lib1","pcyt-1","WBGene00017241",TRUE,TRUE,TRUE,FALSE,36.9796391731254,1557,TRUE,1557
"2158","x.acdh_1 met1_lib1","met1_lib1","acdh-1","WBGene00016943",TRUE,TRUE,TRUE,TRUE,179.565516571844,22,TRUE,21
"2180","x.gpdh_3 met1_lib1","met1_lib1","gpdh-3","WBGene00012031",TRUE,TRUE,TRUE,TRUE,56.1320466558964,1,FALSE,0
"2181","x.acdh_13_L2 met1_lib1","met1_lib1","acdh-13","WBGene00001566",FALSE,TRUE,TRUE,FALSE,37.4549326662225,92,TRUE,92
"2273","x.R11F4.1 met1_lib1","met1_lib1","R11F4.1","WBGene00020007",TRUE,TRUE,TRUE,TRUE,27.4340717259068,1,FALSE,0
"2274","x.pccb_1 met1_lib1","met1_lib1","pccb-1","WBGene00018701",TRUE,TRUE,TRUE,TRUE,218.662439235617,2,FALSE,1
"2276","x.gpdh_1 met1_lib2","met1_lib2","gpdh-1","WBGene00009824",TRUE,TRUE,TRUE,FALSE,4.32720885206273,1,FALSE,1
"2277","x.elo_3 met1_lib2","met1_lib2","elo-3","WBGene00001241",TRUE,TRUE,TRUE,TRUE,199.151059034387,221,TRUE,220
"2498","x.acdh_4 met1_lib2","met1_lib2","acdh-4","WBGene00020419",FALSE,TRUE,TRUE,FALSE,0.369674469709426,6,TRUE,6
"2504","x.sphk_1 met1_lib2","met1_lib2","sphk-1","WBGene00007918",TRUE,TRUE,TRUE,FALSE,40.493284988712,6,TRUE,6
"2510","x.F54D5.12 met1_lib2","met1_lib2","F54D5.12","WBGene00010055",TRUE,TRUE,TRUE,TRUE,25.1341196016386,37,TRUE,36
"2547","x.fat_2 met1_lib2","met1_lib2","fat-2","WBGene00001394",TRUE,TRUE,TRUE,TRUE,174.691771094641,84,TRUE,83
"2631","x.sms_2 met1_lib2","met1_lib2","sms-2","WBGene00004893",TRUE,TRUE,TRUE,TRUE,35.0828322105689,2,FALSE,1
"2633","x.lis_1 met1_lib2","met1_lib2","lis-1","WBGene00003047",TRUE,TRUE,TRUE,TRUE,248.873437855201,1,FALSE,0
