mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2
g1p[c],RCC0043,RCC0046,P/P,NaN,,0.5 pi[c] + glycogen[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] ,pi[c] + dxtrn3[c]  -> g1p[c] 
g1p[c],RCC0043,RC00289,P/C,0,,0.5 pi[c] + glycogen[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] ,g1p[c] + h[c] + utp[c]  -> ppi[c] + udpg[c] 
g1p[c],RCC0043,RC09752,P/P,0,,0.5 pi[c] + glycogen[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] ,pi[c] + gdpg[c]  -> g1p[c] + h[c] + gdp[c] 
g1p[c],RCC0043,RCC0139,P/C,0,,0.5 pi[c] + glycogen[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] ,g1p[c] + h[c] + gtp[c]  -> ppi[c] + gdpg[c] 
g1p[c],RCC0043,DGR0028,P/P,NaN,,0.5 pi[c] + glycogen[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] ,0.5 pi[c] + glycogen_BAC[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] 
g1p[c],RCC0046,RC00289,P/C,0,,pi[c] + dxtrn3[c]  -> g1p[c] ,g1p[c] + h[c] + utp[c]  -> ppi[c] + udpg[c] 
g1p[c],RCC0046,RC09752,P/P,0,,pi[c] + dxtrn3[c]  -> g1p[c] ,pi[c] + gdpg[c]  -> g1p[c] + h[c] + gdp[c] 
g1p[c],RCC0046,RCC0139,P/C,0,,pi[c] + dxtrn3[c]  -> g1p[c] ,g1p[c] + h[c] + gtp[c]  -> ppi[c] + gdpg[c] 
g1p[c],RCC0046,DGR0028,P/P,NaN,,pi[c] + dxtrn3[c]  -> g1p[c] ,0.5 pi[c] + glycogen_BAC[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] 
g1p[c],RC00289,RC09752,P/C,0,,g1p[c] + h[c] + utp[c]  -> ppi[c] + udpg[c] ,pi[c] + gdpg[c]  -> g1p[c] + h[c] + gdp[c] 
g1p[c],RC00289,RCC0139,C/C,0.589713692410789,,g1p[c] + h[c] + utp[c]  -> ppi[c] + udpg[c] ,g1p[c] + h[c] + gtp[c]  -> ppi[c] + gdpg[c] 
g1p[c],RC00289,DGR0028,P/C,0,,g1p[c] + h[c] + utp[c]  -> ppi[c] + udpg[c] ,0.5 pi[c] + glycogen_BAC[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] 
g1p[c],RC09752,RCC0139,P/C,0,,pi[c] + gdpg[c]  -> g1p[c] + h[c] + gdp[c] ,g1p[c] + h[c] + gtp[c]  -> ppi[c] + gdpg[c] 
g1p[c],RC09752,DGR0028,P/P,0,,pi[c] + gdpg[c]  -> g1p[c] + h[c] + gdp[c] ,0.5 pi[c] + glycogen_BAC[c]  -> 0.5 g1p[c] + 0.5 dxtrn1[c] 
