,WBID,whole_dataset_geTMM,asel_geTMM,aser_geTMM
1,WBGene00000001,5.482268307,5.276210008,5.325065819
2,WBGene00000002,2.284173799,0.994699585,0.982994942
3,WBGene00000003,2.813304008,4.678984438,2.186014371
4,WBGene00000004,4.551550358,4.951345284,3.687043156
5,WBGene00000005,0.513779511,0.258274884,0.234998928
6,WBGene00000006,5.256739396,5.687390102,5.263938858
7,WBGene00000007,0.670308554,0.351128577,0.459717879
8,WBGene00000008,0.146826096,0,0
9,WBGene00000009,0.300936438,0.162711468,0.289535801
10,WBGene00000010,2.769129844,3.440247043,4.060663437
11,WBGene00000012,0.417644371,0,0
12,WBGene00000013,0.775887412,0.451597646,0.666823536
13,WBGene00000014,0.250480628,0,0
14,WBGene00000015,0.122115985,0,0.255317402
15,WBGene00000016,0.917722441,1.19615883,1.002807575
16,WBGene00000017,1.428983713,3.942829124,1.568886257
17,WBGene00000018,4.574005435,4.867150153,5.80784407
18,WBGene00000019,0.889407671,0.304499934,0.227062889
19,WBGene00000020,4.786324808,1.59566402,3.95340512
20,WBGene00000021,0.013513359,0,0
21,WBGene00000022,1.083247085,0.952262124,0.762606722
22,WBGene00000023,0.849222383,2.85775935,0.443333475
23,WBGene00000024,0.992765802,3.366193821,0.630842015
24,WBGene00000025,0.057474201,0,0
25,WBGene00000026,0.02562931,0,0
26,WBGene00000027,0.116943819,0.074399432,0.102855924
27,WBGene00000028,0.08702018,0.88870049,0
28,WBGene00000029,0.697950183,0.510905589,0.684914355
29,WBGene00000030,0.13938054,0,0
30,WBGene00000031,1.809936414,1.202906004,2.846653801
31,WBGene00000032,0.041473863,0,0
32,WBGene00000033,1.318863714,1.142350333,1.288024886
33,WBGene00000034,1.75887644,1.186271443,2.357598645
34,WBGene00000035,0.938727663,0.741359068,1.587390277
35,WBGene00000036,2.31658132,1.233050086,1.443615423
36,WBGene00000037,4.098375366,4.739538182,3.933451694
37,WBGene00000038,1.105754808,0.668442068,1.660894252
38,WBGene00000039,1.73291834,1.70738615,1.73427762
39,WBGene00000040,3.925244653,5.054234336,4.809176284
40,WBGene00000041,7.272068638,6.928071852,7.282334391
41,WBGene00000042,3.638322168,3.534430674,2.225605196
42,WBGene00000043,1.443589375,0.505736284,1.757051317
43,WBGene00000044,1.378771559,2.706388216,1.908938689
44,WBGene00000045,0.983499686,0.110647798,0.441328049
45,WBGene00000046,0.259294388,0.181418156,0.210452141
46,WBGene00000047,0.898945411,0.245618632,0.521104233
47,WBGene00000048,1.933163361,0.354874085,0.704236272
48,WBGene00000049,0.929926767,0.202187811,0.279998086
49,WBGene00000050,0.359323861,0,0.05889136
50,WBGene00000051,5.657808726,5.976925243,4.506595412
51,WBGene00000053,1.864401629,1.764338631,0.513169561
52,WBGene00000054,3.021989626,0.259137322,2.858713926
53,WBGene00000055,1.963656865,0.656526573,1.096991727
54,WBGene00000056,1.374097493,0.627109762,1.880164177
55,WBGene00000057,2.785860862,3.298019445,2.311499578
56,WBGene00000058,1.330492164,0.464561775,0.652203058
57,WBGene00000059,1.762347126,0.754717618,0.955855913
58,WBGene00000060,2.562876343,2.431749025,1.135279227
59,WBGene00000061,0.436367155,1.075408494,0.150587647
60,WBGene00000062,0.849496456,0.283547892,0.555596993
61,WBGene00000063,8.194979528,6.130390163,7.91930958
62,WBGene00000064,9.735844456,9.518294058,11.14327276
63,WBGene00000065,8.739768926,8.370476349,8.304522261
64,WBGene00000066,11.89291254,11.71896086,11.50512764
65,WBGene00000067,3.439332162,3.061963827,2.871658479
66,WBGene00000068,5.77308271,4.182770748,4.495517709
67,WBGene00000069,2.40502435,0.609579686,1.559457851
