	BIGG	CPD	FORMULA	MW
EX00080	h[e] -->	h	H	1.0079
EXC0072	soluble_BAC[e] -->	soluble_BAC	C0.1997Co0.0004Fe0.0011H0.2682Mo0.0063N0.0539O0.1112P0.0089S0.0011Se0.0002	6.21920358
EX01328	oh1[e] -->	oh1	HO	17.0069
EX00001	h2o[e] -->	h2o	H2O	18.0148
EX00014	nh4[e] -->	nh4	H4N	18.0386
EX01330	na1[e] -->	na1	Na	22.99
EX01326	cyan[e] -->	cyan	CHN	27.0259
EX00067	fald[e] -->	fald	CH2O	30.0258
EX00007	o2[e] -->	o2	O2	31.998
EX00704	o2s[e] -->	o2s	O2	31.998
EX00132	meoh[e] -->	meoh	CH4O1	32.0416
EX00027	h2o2[e] -->	h2o2	H2O2	34.0138
EX00698	cl[e] -->	cl	Cl	35.453
EX00238	k[e] -->	k	K	39.098
EX00011	co2[e] -->	co2	CO2	44.009
EX00084	acald[e] -->	acald	C2H4O	44.0526
EX00058	for[e] -->	for	CH1O2	45.0169
EX00469	etoh[e] -->	etoh	C2H6O	46.0684
EX14818	fe2[e] -->	fe2	Fe	55.845
EX14819	fe3[e] -->	fe3	Fe	55.845
EX01755	tcynt[e] -->	tcynt	CNS	58.083
EX00033	ac[e] -->	ac	C2H3O2	59.0437
EX00266	gcald[e] -->	gcald	C2H4O2	60.0516
EX00086	urea[e] -->	urea	CH4N2O	60.0556
EX00565	tma[e] -->	tma	C3H10N	60.119
EX00288	hco3[e] -->	hco3	CHO3	61.0159
EX00189	etha[e] -->	etha	C2H8NO	62.0912
EX00546	mthgxl[e] -->	mthgxl	C3H4O2	72.0626
EX00048	glx[e] -->	glx	C2H1O3	73.0269
EX00163	ppa[e] -->	ppa	C3H5O2	73.0705
EX01888	aact[e] -->	aact	C3H8NO	74.1022
EX00160	glyclt[e] -->	glyclt	C2H3O3	75.0427
EX00037	gly[e] -->	gly	C2H5NO2	75.0665
EX00583	12ppd-R[e] -->	12ppd-R	C3H8O2	76.0942
EX00094	so3[e] -->	so3	O3S	80.062
EX00022	pyr[e] -->	pyr	C3H3O3	87.0537
EX01013	3hpp[e] -->	3hpp	C3H5O3	89.0695
EX00186	lac-L[e] -->	lac-L	C3H5O3	89.0695
EX00256	lac-D[e] -->	lac-D	C3H5O3	89.0695
EX00099	ala-B[e] -->	ala-B	C3H7NO2	89.0933
EX00133	ala-D[e] -->	ala-D	C3H7NO2	89.0933
EX00041	ala-L[e] -->	ala-L	C3H7NO2	89.0933
EX00577	glyald[e] -->	glyald	C3H6O3	90.0774
EX00134	ptrc[e] -->	ptrc	C4H14N2	90.1686
EX00116	glyc[e] -->	glyc	C3H8O3	92.0932
EX00009	pi[e] -->	pi	HO4P	95.9779
EX00059	so4[e] -->	so4	O4S	96.061
EX00232	sucsal[e] -->	sucsal	C4H5O3	101.0805
EX00164	acac[e] -->	acac	C4H5O3	101.0805
EX00109	2obut[e] -->	2obut	C4H5O3	101.0805
EX03197	S3hb[e] -->	S3hb	C4H7O3	103.0963
EX06001	3hmp[e] -->	3hmp	C4H7O3	103.0963
EX05984	2hb[e] -->	2hb	C4H7O3	103.0963
EX03284	3aib[e] -->	3aib	C4H9NO2	103.1201
EX00334	4abut[e] -->	4abut	C4H9NO2	103.1201
EX01205	3aib-D[e] -->	3aib-D	C4H9NO2	103.1201
EX00114	chol[e] -->	chol	C5H14NO	104.1716
EX00065	ser-L[e] -->	ser-L	C3H7NO3	105.0923
EXC0051	protein_BAC[e] -->	protein_BAC	C4.793H7.694N1.3704O1.3964S0.0459	108.3314855
EX00106	ura[e] -->	ura	C4H4N2O2	112.0876
EX00320	tsul[e] -->	tsul	O3S2	112.127
