rxns,formula,normalized_OFD_exp_resp_simi,normalized_OFD_exp_resp,normalized_OFD_exp_simi,normalized_OFD_exp_only,normalized_OFD_no_data,OFD_exp_resp_simi,OFD_exp_resp,OFD_exp_simi,OFD_exp_only,OFD_no_data,FVA_PFD_exp_resp_simi_1,FVA_PFD_exp_resp_simi_2,FVA_PFD_exp_resp_1,FVA_PFD_exp_resp_2,FVA_PFD_exp_simi_1,FVA_PFD_exp_simi_2,FVA_PFD_exp_only_1,FVA_PFD_exp_only_2,FVA_PFD_no_data_1,FVA_PFD_no_data_2,PFD_bounded_exp_resp_simi,PFD_bounded_exp_resp,PFD_bounded_exp_simi,PFD_bounded_exp_only,PFD_bounded_no_data,FVA_OFD_exp_resp_simi_1,FVA_OFD_exp_resp_simi_2,FVA_OFD_exp_resp_1,FVA_OFD_exp_resp_2,FVA_OFD_exp_simi_1,FVA_OFD_exp_simi_2,FVA_OFD_exp_only_1,FVA_OFD_exp_only_2,FVA_OFD_no_data_1,FVA_OFD_no_data_2,OFD_bounded_exp_resp_simi,OFD_bounded_exp_resp,OFD_bounded_exp_simi,OFD_bounded_exp_only,OFD_bounded_no_data
RC00959,g1p[c]  <=> g6p-A[c] ,0.0143690620638211,-0.0509654183479584,0.0304481197216729,0.0269227529076674,0.0446612622702846,0.0168357551466498,-0.0888954207870453,0.0348676394751404,0.0293899595043321,0.0542095767932551,-0.196980247244228,0.0720821812347035,-1.90355701708233,0.155868439384211,-0.232104680450949,0.0983867010215805,-18.0838365081204,0.170008687143422,-609.41021044072,10.972625361576,0,0,0,0,0,-0.0328695771281249,0.0635490076595787,-1.89942377252799,0.149391967231288,-0.232104680435968,0.0977400739631485,-2.72403493448513,0.139617564153288,-14.8901847034635,0.369817828869259,0,0,0,0,0
RC02740,g6p-A[c]  <=> f6p[c] ,0.00853484856397717,-0.00620341971074051,-0.00873248667818589,0.0662849582349777,0,0.00999999999990564,-0.0108201918748111,-0.0099999999999909,0.0723593253986122,0,-1000,999.053475979752,-1000,999.149518723147,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-8.0638403516929,7.45648775302639,-67.0462900980719,66.3823533715883,-21.3112536102695,20.7534460521972,-26.1258839442837,25.6348634803946,-97.2109698665697,97.1195700807659,0,0,0,0,0
RC03321,g6p-B[c]  <=> f6p[c] ,-0.90786308298229,-0.679873979858603,-0.165744102528585,0.0930088817472915,-0.204715488056924,-1.06371317097004,-1.18585671384202,-0.189801723880632,0.101532234741033,-0.248482452274402,-1000,999.043186708869,-1000,999.14738317423,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-8.51020092390187,7.01012718243435,-67.4579702106584,65.9706732585054,-21.7792158514719,20.2904349907778,-26.4934948371256,25.2772969142323,-97.3712647177545,96.9747154250977,0,0,0,0,0
RC02739,g6p-A[c]  <=> g6p-B[c] ,0.113244015315419,0.00573318826733643,0.179095744431968,0.00916052739219389,0.0359598746716149,0.132684270219295,0.00999999999993406,0.205091345720794,0.0100000000006771,0.0436478838347512,-999.226901619465,1000,-1000,1000,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-7.31380348094701,8.2065246236501,-66.3406558602869,67.1413660446384,-20.5693192544835,21.4955585822886,-25.5518165268267,26.2635870944467,-97.0264979029116,97.3064088125282,0,0,0,0,0
RC01600,atp[c] + glc-D-B[c]  -> g6p-B[c] + adp[c] + h[c] ,0,0.0387415892461627,0,0.0838483543513429,0.108616115222478,0,0.0675742491601556,0,0.0915322347362569,0.131837600189272,0,0.431072241167173,0,2.61089340241925,0,0.459436008576714,0,24.4568206864118,0,818.173300243593,0,0,0,0,0,0,0.200955681372831,0,2.60481410525273,0,0.459436008574294,0,3.81167263291914,0,19.288403837107,0,0,0,0,0
RC01786,atp[c] + glc-D-A[c]  -> g6p-A[c] + adp[c] + h[c] ,0.143100256097681,0.074979,0.15893646622324,0.0684044563605405,0,0.167665840844922,0.130780634619452,0.182005964715784,0.0746730547669807,0,0,0.537590407079657,0,2.61089340240458,0,0.719154100229651,0,24.4568206864334,0,818.173300243584,0,0,0,0,0,0,0.250611930501632,0,2.60616078834894,0,0.719154100161865,0,3.94120463632991,0,20.6124511849301,0,0,0,0,0
RC09085,adp[c] + glc-D-A[c]  -> g6p-A[c] + h[c] + amp[c] ,0,0,0.00873248667819383,0.00916052738338451,0,0,0,0.00999999999999999,0.00999999999106043,0,0,0.0817320760551725,0,0.274830884473242,0,0.518236726558342,0,24.4668206864111,0,818.173300243592,0,0,0,0,0,0,0.0179454688867446,0,0.274830884470776,0,0.518236726539334,0,3.76538756706327,0,19.2606136152084,0,0,0,0,0
RC09086,glc-D-B[c] + adp[c]  -> g6p-B[c] + h[c] + amp[c] ,0,0,0,0.00916052739421837,0,0,0,0,0.0100000000028871,0,0,0.0775989593694163,0,0.274830884472988,0,0.370276259154484,0,24.4668206863673,0,818.173300243591,0,0,0,0,0,0,0.0170281028592425,0,0.274830884469229,0,0.370276259192339,0,3.64977381718464,0,18.1006306423186,0,0,0,0,0
RC01602,glc-D-A[c]  <=> glc-D-B[c] ,-0.0131430238984095,0,-0.0144528486678087,-4.48023987817178e-13,0.0749790000000217,-0.0153992467467529,0,-0.0165506678686374,-4.89080997922997e-13,0.0910090680774829,-1000,1000,-1000,1000,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-7.41637493646546,7.35289849053608,-66.351929932703,66.4391647970771,-20.7002972198341,20.6220818895922,-25.5840171875073,25.6823864379819,-97.0496979998766,97.1278494216322,0,0,0,0,0
RC01070,fdp[c]  <=> dhap[c] + g3p[c] ,0.00853484856405771,0,-0.0882472310133778,0.236186664585834,0,0.01,0,-0.101056244647636,0.257830858955884,0,-0.0946068104337313,0.0803007816818913,-0.299859820724266,0.285039973145957,-0.616780358279666,0.364878834072039,-36.3437020389896,0.861418966425953,-1000,41.1741307909606,0,0,0,0,0,-0.0382349320607254,0.0373546679636827,-0.29985982072141,0.285039973144168,-0.616780358215308,0.364878834005129,-5.20555897883743,0.676109376960046,-26.9593372121719,1.35657598930686,0,0,0,0,0
