rxnID,rxnFormula,LB,UB,note
RC00959,g1p[c]  <=> g6p-A[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02740,g6p-A[c]  <=> f6p[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC03321,g6p-B[c]  <=> f6p[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02739,g6p-A[c]  <=> g6p-B[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01600,atp[c] + glc-D-B[c]  -> g6p-B[c] + adp[c] + h[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01786,atp[c] + glc-D-A[c]  -> g6p-A[c] + adp[c] + h[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC09085,adp[c] + glc-D-A[c]  -> g6p-A[c] + h[c] + amp[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC09086,glc-D-B[c] + adp[c]  -> g6p-B[c] + h[c] + amp[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01602,glc-D-A[c]  <=> glc-D-B[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01070,fdp[c]  <=> dhap[c] + g3p[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC04780,fdp[c] + h2o[c]  -> f6p[c] + pi[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC04779,f6p[c] + atp[c]  -> adp[c] + h[c] + fdp[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01015,g3p[c]  <=> dhap[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01061,g3p[c] + pi[c] + nad[c]  <=> h[c] + 13dpg[c] + nadh[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01512,atp[c] + 3pg[c]  <=> adp[c] + 13dpg[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01518,2pg[c]  <=> 3pg[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00658,2pg[c]  <=> h2o[c] + pep[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00431,gtp[c] + oaa[c]  <=> pep[c] + gdp[c] + co2[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00200,adp[c] + h[c] + pep[c]  -> atp[c] + pyr[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00209,pyr[m] + coa[m] + nad[m]  -> accoa[m] + co2[m] + nadh[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00703,nad[c] + lac-L[c]  <=> h[c] + nadh[c] + pyr[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00711,h2o[c] + acald[c] + nadp[c]  -> 2 h[c] + ac[c] + nadph[c] ,0,0.01,"Restricting non-canonical NADPH production flux. Canonical reactions were selected based on PMID: 24805240 (incl. RM00248, RC02736, RC01528, RC00267, RM00267, RM01220, RC01220 and RM00216)."
RC00710,h2o[c] + nad[c] + acald[c]  -> 2 h[c] + nadh[c] + ac[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00710,nad[m] + acald[m] + h2o[m]  -> nadh[m] + ac[m] + 2 h[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00754,nad[c] + etoh[c]  <=> h[c] + nadh[c] + acald[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00235,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00344,pyr[m] + atp[m] + hco3[m]  -> h[m] + adp[m] + pi[m] + oaa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00351,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00352,atp[c] + coa[c] + cit[c]  -> adp[c] + pi[c] + oaa[c] + accoa[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RCC0001,cit[c]  <=> icit[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RMC0001,cit[m]  <=> icit[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00267,nadp[c] + icit[c]  -> co2[c] + nadph[c] + akg[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00267,icit[m] + nadp[m]  -> co2[m] + akg[m] + nadph[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00709,nad[m] + icit[m]  -> co2[m] + nadh[m] + akg[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RMC0003,coa[m] + nad[m] + akg[m]  -> co2[m] + nadh[m] + succoa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00432,coa[m] + gtp[m] + succ[m]  <=> pi[m] + succoa[m] + gdp[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00405,coa[m] + atp[m] + succ[m]  <=> adp[m] + pi[m] + succoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM02164,succ[m] + q[m]  -> qh2[m] + fum[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM01082,mal-L[m]  <=> h2o[m] + fum[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00342,nad[m] + mal-L[m]  <=> nadh[m] + h[m] + oaa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02736,g6p-B[c] + nadp[c]  <=> h[c] + nadph[c] + 6pgl[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02035,h2o[c] + 6pgl[c]  -> h[c] + 6pgc[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01737,atp[c] + glcn[c]  -> adp[c] + h[c] + 6pgc[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01528,nadp[c] + 6pgc[c]  -> co2[c] + nadph[c] + ru5p-D[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01529,ru5p-D[c]  <=> xu5p-D[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01056,r5p[c]  <=> ru5p-D[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01049,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01051,atp[c] + rib-D[c]  -> adp[c] + h[c] + r5p[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01641,g3p[c] + s7p[c]  <=> xu5p-D[c] + r5p[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01830,f6p[c] + g3p[c]  <=> xu5p-D[c] + e4p[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01827,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02750,atp[c] + drib[c]  -> adp[c] + h[c] + 2dr5p[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01066,2dr5p[c]  <=> g3p[c] + acald[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01057,r1p[c]  <=> r5p[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02531,nad[c] + lald-D[c]  <=> h[c] + nadh[c] + mthgxl[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02577,nadp[c] + 12ppd-R[c]  <=> h[c] + nadph[c] + lald-D[c] ,-1000,0.01,"Restricting non-canonical NADPH production flux. Canonical reactions were selected based on PMID: 24805240 (incl. RM00248, RC02736, RC01528, RC00267, RM00267, RM01220, RC01220 and RM00216)."
RM01736,h2o[m] + lgt-S[m]  -> h[m] + gthrd[m] + lac-D[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00197,lac-D[m] + 2 ficytC[m]  -> pyr[m] + 2 h[m] + 2 focytC[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00199,atp[c] + h2o[c] + pyr[c]  -> 2 h[c] + amp[c] + pi[c] + pep[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00216,nadp[m] + mal-L[m]  -> pyr[m] + co2[m] + nadph[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00238,2 accoa[m]  <=> coa[m] + aacoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RMC0006,nadh[m] + 5 h[m] + q[m]  -> 4 h[c] + nad[m] + qh2[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC02364,h[c] + nadph[c] + q[c]  -> nadp[c] + qh2[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM02161,2 h[m] + qh2[m] + 2 ficytC[m]  <=> 4 h[c] + q[m] + 2 focytC[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00081,8 h[m] + 4 focytC[m] + o2[m]  -> 4 h[c] + 2 h2o[m] + 4 ficytC[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00004,h2o[c] + ppi[c]  -> h[c] + 2 pi[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00004,h2o[m] + ppi[m]  -> h[m] + 2 pi[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RMC0004,4 h[c] + adp[m] + pi[m]  -> h2o[m] + 3 h[m] + atp[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RMC0005,3 h[c] + adp[m] + pi[m]  -> h2o[m] + 2 h[m] + atp[m] ,0,0,"Block one of the two alternative ATPase reactions, to simplify the solution space."
RMC0007,h[c] + nadh[m] + q[m]  -> nad[m] + qh2[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RMC0008,nadh[m] + h[m] + q[m]  -> nad[m] + qh2[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RCC0005,atp[c] + h2o[c]  -> adp[c] + h[c] + pi[c] ,1,1000,"Original iCEL1314 reaction and default constraints."
RM00112,nadh[m] + nadp[m]  -> nad[m] + nadph[m] ,0,0.01,"Constrain the flux through nnt-1 reaction to maintain proper redox balance. Since H+ gradient coupling was not reconstructed in the model, this reaction can convert nadh to nadph without any cost. Therefore, we constain it to minimal level of nadph production to avoid massive thermodynamically infeasible nadph production."
RC00127,atp[c] + amp[c]  <=> 2 adp[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00713,nad[m] + h2o[m] + sucsal[m]  -> nadh[m] + 2 h[m] + succ[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00093,h[c] + nadh[c] + akg[c] + gln-L[c]  -> nad[c] + 2 glu-L[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00243,nad[m] + h2o[m] + glu-L[m]  -> nadh[m] + h[m] + akg[m] + nh4[m] ,0,1000,"Assuming the direction of GDH as reducing direction (producing NADPH/NADH) in vivo, based on PMID: 28208702"
RM00248,h2o[m] + nadp[m] + glu-L[m]  -> h[m] + akg[m] + nadph[m] + nh4[m] ,0,1000,"Assuming the direction of GDH as reducing direction (producing NADPH/NADH) in vivo, based on PMID: 28208702"
RC00359,h2o[c] + asp-D[c] + o2[c]  -> oaa[c] + h2o2[c] + nh4[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01397,asp-L[c] + cbp[c]  -> h[c] + pi[c] + cbasp[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01072,h2o[c] + prpp[c] + gln-L[c]  -> ppi[c] + glu-L[c] + pram[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00355,akg[m] + asp-L[m]  <=> oaa[m] + glu-L[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00355,akg[c] + asp-L[c]  <=> oaa[c] + glu-L[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00768,f6p[c] + gln-L[c]  -> glu-L[c] + gam6p[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM01648,akg[m] + 4abut[m]  <=> sucsal[m] + glu-L[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00369,ala-L[c] + glx[c]  <=> pyr[c] + gly[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00369,ala-L[m] + glx[m]  <=> pyr[m] + gly[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00485,h2o[c] + asn-L[c]  -> nh4[c] + asp-L[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00256,h2o[c] + gln-L[c]  -> glu-L[c] + nh4[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00261,h[c] + glu-L[c]  -> co2[c] + 4abut[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01083,dcamp[c]  <=> amp[c] + fum[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00253,atp[c] + glu-L[c] + nh4[c]  -> adp[c] + h[c] + pi[c] + gln-L[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01135,gtp[c] + asp-L[c] + imp[c]  -> 2 h[c] + pi[c] + gdp[c] + dcamp[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00578,atp[c] + h2o[c] + gln-L[c] + asp-L[c]  -> h[c] + amp[c] + ppi[c] + glu-L[c] + asn-L[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00575,2 atp[c] + h2o[c] + gln-L[c] + hco3[c]  -> 2 adp[c] + 2 h[c] + pi[c] + glu-L[c] + cbp[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01514,atp[c] + glyc-R[c]  -> adp[c] + h[c] + 3pg[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01513,nad[c] + 3pg[c]  <=> h[c] + nadh[c] + 3php[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC04173,glu-L[c] + 3php[c]  <=> akg[c] + pser-L[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00582,h2o[c] + pser-L[c]  -> pi[c] + ser-L[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00585,pyr[c] + ser-L[c]  <=> ala-L[c] + hpyr[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00220,ser-L[c]  -> pyr[c] + nh4[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00996,thr-L[c]  -> nh4[c] + 2obut[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00945,ser-L[m] + thf[m]  <=> h2o[m] + gly[m] + mlthf[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM04125,thf[m] + alpro[m]  <=> nh4[m] + mlthf[m] + dhlpro[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM03425,h[m] + gly[m] + lpro[m]  <=> co2[m] + alpro[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM03815,nad[m] + dhlpro[m]  <=> nadh[m] + h[m] + lpro[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00366,h2o[c] + o2[c] + gly[c]  -> h2o2[c] + nh4[c] + glx[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01290,ser-L[c] + hcys-L[c]  <=> h2o[c] + cyst-L[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
