rxns,formula,normalized_OFD_exp_resp_simi,normalized_OFD_exp_resp,normalized_OFD_exp_simi,normalized_OFD_exp_only,normalized_OFD_no_data,OFD_exp_resp_simi,OFD_exp_resp,OFD_exp_simi,OFD_exp_only,OFD_no_data,FVA_PFD_exp_resp_simi_1,FVA_PFD_exp_resp_simi_2,FVA_PFD_exp_resp_1,FVA_PFD_exp_resp_2,FVA_PFD_exp_simi_1,FVA_PFD_exp_simi_2,FVA_PFD_exp_only_1,FVA_PFD_exp_only_2,FVA_PFD_no_data_1,FVA_PFD_no_data_2,PFD_bounded_exp_resp_simi,PFD_bounded_exp_resp,PFD_bounded_exp_simi,PFD_bounded_exp_only,PFD_bounded_no_data,FVA_OFD_exp_resp_simi_1,FVA_OFD_exp_resp_simi_2,FVA_OFD_exp_resp_1,FVA_OFD_exp_resp_2,FVA_OFD_exp_simi_1,FVA_OFD_exp_simi_2,FVA_OFD_exp_only_1,FVA_OFD_exp_only_2,FVA_OFD_no_data_1,FVA_OFD_no_data_2,OFD_bounded_exp_resp_simi,OFD_bounded_exp_resp,OFD_bounded_exp_simi,OFD_bounded_exp_only,OFD_bounded_no_data,related_responsiveness_constraints,related_similarity_constraints
RC00959,g1p[c]  <=> g6p-A[c],0.0605463711415132,0.0659482507447362,0.0560052799134263,0.0505385066167591,0.0433740742454897,0.084700878141407,0.101750651469836,0.100517578733071,0.0809263226114854,0.0533834759944511,-0.0877666016320426,0.0996413433646682,-1.14422393685501,0.160345871562082,-0.213449146027897,0.166643931507799,-9.10323494437141,0.252823789740557,-269.153872173873,5.4587504155902,0,0,0,0,0,0.0492320298521905,0.0940183141504362,-1.05812823415379,0.153479583573831,-0.213449145980779,0.16660373042154,-2.20418844125558,0.226878807258218,-11.6597571949657,0.385812893865364,1,0,0,0,0,ND,"ND"
RC02740,g6p-A[c]  <=> f6p[c],0.00714825778299489,0.00648135906670106,0.00557169010816954,0.113229774823309,0,0.00999999999976353,0.00999999999999091,0.00999999999982037,0.181312624768741,0,-1000,998.883082855765,-1000,999.0480213644,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-9.9769583946849,9.33412611102954,-32.5503208174439,31.8784964200522,-32.5997927677235,32.0428528363814,-32.6329089891615,32.1940193854375,-83.4796562560673,83.4108076133646,0,0,0,0,0,ND,"ND"
RC03321,g6p-B[c]  <=> f6p[c],-0.862752282289509,-0.741036307503298,-1.10834537992864,0.0619522822052156,-0.105374632283957,-1.20694063988784,-1.14333475414101,-1.98924448128156,0.0992029783205843,-0.129691855118722,-1000,998.860434511723,-1000,999.041013343033,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-10.5310667509162,8.78001775479034,-33.0626998635891,31.3661173739554,-33.1804307771296,31.4622148272137,-33.0981197154627,31.7905714674462,-83.726159224307,83.2526509028037,0,0,0,0,0,ND,"ND"
RC02739,g6p-A[c]  <=> g6p-B[c],0.159186135492286,0.0319903953852782,0.178852244919062,-0.00624500224226679,0.0344942681473895,0.222692214412317,0.0493575422315429,0.321001781225423,-0.00999999999999091,0.042454483873712,-998.973979038962,1000,-1000,1000,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-9.10143389661288,10.2096506090862,-31.7473971771246,32.7442366014329,-31.740684793058,32.9019608110627,-32.0279180133262,32.8734717266704,-83.2853501966256,83.6548468740857,0,0,0,0,0,ND,"ND"
RC01600,atp[c] + glc-D-B[c]  -> g6p-B[c] + adp[c] + h[c],0,0.131864031122009,0,0.0681972844474767,0.108289267985192,0,0.203451204855105,0,0.109202978320566,0.133279099058704,0,0.416002100352597,0,1.88495232942579,0,0.62224217072698,0,12.6135133889228,0,362.316851787548,0,0,0,0,0,0,0.222974700595587,0,1.76056449792402,0,0.622242170716601,0,3.28974933490479,0,15.2794066089744,0,0,0,0,0,ND,"ND"
RC01786,atp[c] + glc-D-A[c]  -> g6p-A[c] + adp[c] + h[c],0.135932113292335,0,0.141121745254836,0.0704969392987402,0,0.190161179710798,0,0.253283550435406,0.112885370675363,0,0,0.471442620863217,0,1.8849523293654,0,0.887896654112277,0,12.6135133889059,0,362.316851787541,0,0,0,0,0,0,0.252677909530288,0,1.76079145586371,0,0.887896654028687,0,3.35223728824551,0,16.2214424544489,0,0,0,0,0,ND,"ND"
RC09085,adp[c] + glc-D-A[c]  -> g6p-A[c] + h[c] + amp[c],0,0,0.00557169010826963,0.00624500224227247,0,0,0,0.01,0.01,0,0,0.11062128217414,0,0.393983812555606,0,0.686007492389639,0,12.6235133889044,0,362.316851787563,0,0,0,0,0,0,0.0239252062820636,0,0.393983812547547,0,0.686007492330607,0,3.25610996349547,0,15.2442777290499,0,0,0,0,0,ND,"ND"
RC09086,glc-D-B[c] + adp[c]  -> g6p-B[c] + h[c] + amp[c],0,0,0,0.00624500224227247,0,0,0,0,0.01,0,0,0.105117776752788,0,0.393983812555636,0,0.517722952984335,0,12.6235133889197,0,362.316851787563,0,0,0,0,0,0,0.0227349063703231,0,0.393983812552327,0,0.517722952941401,0,3.19869769890007,0,14.4106447914919,0,0,0,0,0,ND,"ND"
RC01602,glc-D-A[c]  <=> glc-D-B[c],-0.0142944257782995,0.074979,-0.0141367690108194,0,0.0749789999999674,-0.0199970765071829,0.115684070622082,-0.0253724969194487,0,0.09228184615381,-1000,1000,-1000,1000,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-9.23917691821839,9.1689989425822,-31.7858346147303,31.9044884925656,-31.9266137461604,31.8302405663139,-32.0838527007205,32.2247074430754,-83.3164902782412,83.4226203649264,0,0,0,0,0,ND,"ND"
RC01070,fdp[c]  <=> dhap[c] + g3p[c],0.00714825778316392,0,-0.0599746204218838,0.265869642521571,0.10216104040494,0.01,0,-0.107641701631733,0.42573186078605,0.125736665113777,-0.126333117558494,0.147116355014479,-0.377527091728427,0.387108277761679,-0.712839024113491,0.811932820118877,-18.4907252740117,1.20828205324565,-541.160758426009,20.4836388961376,0,0,0,0,0,-0.0429823781432852,0.0464842909787686,-0.377527091725355,0.354837595790753,-0.694568413913228,0.811932820105115,-4.4096659946181,1.03436822757023,-21.3538984848469,1.42998806482342,0,0,0,0,0,ND,"ND"
